video_id,start,end,bbox,fps,width,height,partition
VM6HZqQKhok,16609,16737,616-112-1172-667,24.0,1920,1080,train
4E_1AB1rsSw,14854,15029,1240-131-1691-581,24.0,1920,1080,test
B43f89Y9f-A,13336,13572,534-270-933-669,30.0,1920,1080,train
4zLmWpMDY8Q,12019,12190,241-242-591-591,24.0,1920,1080,train
rS_Ssisz2_M,7168,7339,784-136-1097-448,30.0,1280,720,train
Fxt_MZKMdes,1276,1514,378-59-761-442,24.0,1280,720,train
8Dv2Hdf5TRg,10948,11114,764-75-1080-392,24.0,1280,720,test
8DDgHq9ewOo,19725,19916,1049-79-1435-466,24.0,1920,1080,train
pyFcr2WcOyo,13029,13417,1131-254-1500-623,24.0,1920,1080,train
UQzvNIIMayo,24043,24186,613-78-1174-640,30.0,1920,1080,train
esD6aaIjhek,8846,9046,271-37-583-349,30.0,1280,720,train
N39x_WTPix0,13432,13562,638-21-1017-400,25.0,1280,720,train
27lMmdmy-b8,19823,20124,452-57-810-413,30.0,1280,720,train
LnJwH_PZXnM,24134,24328,930-91-1484-644,25.0,1920,1080,train
77HUdJ7Tij0,1754,2046,1231-120-1698-587,25.0,1920,1080,train
kdqUhTnAgJU,4528,4674,550-64-861-375,30.0,1280,720,train
EZKDkSY1GBM,1801,1947,1371-130-1728-486,25.0,1920,1080,train
lmyZMtPVodo,3288,3455,668-88-985-405,24.0,1280,720,train
5zWmdHmJMd0,13695,13828,394-40-978-624,24.0,1920,1080,train
6wNif5SlN08,12243,12391,725-90-1073-438,24.0,1280,720,train
yNhu0MG_2MA,15079,15207,298-128-722-553,24.0,1920,1080,train
HiwJ0hNl1Fw,19802,19950,331-47-663-379,25.0,1280,720,train
ERSZb2wHFDw,9942,10154,791-178-1222-609,30.0,1920,1080,train
yNhu0MG_2MA,15293,15483,677-82-1133-539,24.0,1920,1080,train
QeIrdqU0o9s,9717,9869,407-57-775-425,24.0,1280,720,train
LiUClSItcy0,2910,3194,419-104-743-428,24.0,1280,720,test
yLfCCcVDUiU,11743,12036,1005-141-1365-500,24.0,1920,1080,train
Uq1idqpX9-A,3270,3404,755-69-1104-418,24.0,1280,720,train
8Z24LCysq3A,8681,8961,531-42-891-402,25.0,1280,720,train
YUUP2MMz7PU,1605,1830,726-177-1151-602,24.0,1920,1080,train
Jc9RdbHEFa0,11429,11585,666-59-1002-396,24.0,1280,720,test
949yOxz_x80,13333,13579,984-101-1480-598,25.0,1920,1080,train
yNhu0MG_2MA,4164,4617,499-37-1046-584,24.0,1920,1080,train
BzeTjn0R2VY,7387,7708,482-45-1075-637,24.0,1920,1080,train
0gks6ceq4eQ,16612,16848,1055-68-1575-588,24.0,1920,1080,test
dkmpRQdJslI,8681,9033,348-13-764-427,24.0,1280,720,train
